1,Wiktor,Czarnecki,11,775860224,30,wiktor.czarnecki@pkp-sa.pl,0
2,Piotr,Wasilewski,8,678410017,18,piotr.wasilewski@gmail.com,0
3,Patrycja,Błaszczyk,19,575487936,26,patrycja.błaszczyk@intercity.pl,1
4,Paweł,Adamski,14,575862131,8,paweł.adamski@pkp.pl,1
5,Michalina,Kowalska,19,258666962,7,michalina.kowalska@pkp-sa.pl,1
6,Bartek,Wróblewski,18,547623491,14,bartek.wróblewski@gmail.com,1
7,Radosław,Kowalczyk,19,826008205,24,radosław.kowalczyk@intercity-sa.pl,1
8,Bruno,Kaźmierczak,13,394427733,6,bruno.kaźmierczak@pkp-sa.pl,1
9,Kornelia,Michalska,19,949246909,8,kornelia.michalska@intercity.pl,1
10,Filip,Bąk,23,548274345,25,filip.bąk@pkp.pl,1
11,Inga,Mazur,19,279577171,6,inga.mazur@pkp.pl,1
12,Roksana,Szymańska,20,169517323,26,roksana.szymańska@ic.pl,0
13,Leonard,Kubiak,19,196144134,25,leonard.kubiak@gmail.com,1
14,Marika,Brzezińska,10,378646570,29,marika.brzezińska@pkp.pl,1
15,Ryszard,Krawczyk,19,937090886,28,ryszard.krawczyk@pkp.pl,1
16,Adrianna,Wójcik,22,963995710,30,adrianna.wójcik@gmail.com,1
17,Bartek,Cieślak,20,589933342,3,bartek.cieślak@ic.pl,0
18,Stanisław,Zawadzki,23,448854748,17,stanisław.zawadzki@pkp.pl,1
19,Adam,Jakubowski,19,775381059,13,adam.jakubowski@pkp-sa.pl,1
20,Natan,Krupa,13,477072346,25,natan.krupa@intercity.pl,1
21,Agata,Zalewska,19,785001747,8,agata.zalewska@gmail.com,1
22,Ksawery,Gajewski,17,432182293,10,ksawery.gajewski@gmail.com,1
23,Marianna,Borkowska,19,562259835,21,marianna.borkowska@pkp-sa.pl,1
24,Mariusz,Krajewski,22,348613881,5,mariusz.krajewski@ic-sa.pl,0
25,Karolina,Sadowska,19,630450813,24,karolina.sadowska@pkp-sa.pl,1
26,Roksana,Sadowska,21,414642781,25,roksana.sadowska@intercity-sa.pl,1
27,Karol,Bąk,19,396064280,12,karol.bąk@gmail.com,1
28,Natasza,Ziółkowska,17,660351841,30,natasza.ziółkowska@gmail.com,0
